,username,tweet_content,n_favorites,timestamp,mentions
2000,JOSEPCARMONAPER,"RT @rcde9barris: A #rcde lo ningunea la Prensa central, la del régimen, los árbitros, la @rfef el Tebas y su putamadre...pero vamos, q muy…",0,Fri Apr 29 19:48:10 +0000 2022,"['rcde9barris', 'rfef']"
2001,RcdeOvunque,RT @OldRcd: 20 de Abril de 1988...Noches mágicas en Sarriá...RCDE 3 Brujas 0 #RCDE https://t.co/GeAfMLdH56,0,Fri Apr 29 19:47:03 +0000 2022,['OldRcd']
2002,pericosundayez,"Un club de soñadores, que la amargura no nos marchite. #siempremagico #rcde https://t.co/Z1TdMGad53",57,Fri Apr 29 19:42:01 +0000 2022,[]
2003,Julianhurtado1,Recordatorio para los que piensan que el Madrid juega solo mañana (espero no arrepentirme) . Esperemos que haya par… https://t.co/JTwgRiMRdR,0,Fri Apr 29 19:31:41 +0000 2022,[]
2004,JessExposito3,"RT @rcdeperico81: Yo que queréis que os diga, yo soy soldado de RDT, con sus goles, con su clase, con sus virtudes y sus defectos. Siempre…",0,Fri Apr 29 19:30:24 +0000 2022,['rcdeperico81']
2005,lagradaonline,"🗣️ Carlo Ancelotti ha dejado entrever algunos jugadores que formarán parte de su alineación ante el Espanyol

 🎙️ E… https://t.co/FKki8ZKhP9",5,Fri Apr 29 19:30:11 +0000 2022,[]
2006,JessExposito3,RT @LeleCabrera4: Viernes con una 😃! #RealMadridEspanyol ⚪🔵 #RCDE https://t.co/V6x196FpTp,0,Fri Apr 29 19:30:07 +0000 2022,['LeleCabrera4']
2007,RokyBalotelli,"RT @RCDeSports: ⚠️ S O R T E O ⚠️

✈️4 viajes dobles a Madrid (transporte ida y vuelta+ 2 noches de hotel) 
 🗓️Del 7 al 9 de Mayo

👉¿Cómo p…",0,Fri Apr 29 19:30:06 +0000 2022,['RCDeSports']
2008,JessExposito3,"RT @9Mahicas: 3 partidos para seguir soñando por el objetivo directo, mientras haya oportunidad de conseguirlo vamos a pelearlo hasta el fi…",0,Fri Apr 29 19:30:04 +0000 2022,['9Mahicas']
2009,Jorge18994756,"A vueltas con lo del biscotto, si mañana salimos con Loren y Dimata de titulares, ¿el Madrid entenderá el mensaje? #RCDE",2,Fri Apr 29 19:26:51 +0000 2022,[]
2010,wuilyperiko11,@pcfutbol @RCDEspanyol #Tamudeitor en acción #RCDE https://t.co/0WkHi9Pzv9,1,Fri Apr 29 19:24:23 +0000 2022,"['pcfutbol', 'RCDEspanyol']"
2011,jordiluengo,"Sin Óscar Gil ni Pedrosa, no estaría mal un 5-3-2 con Vilhena de carrilero por la izquierda, no? 

#rcde https://t.co/Mav41SShSx",9,Fri Apr 29 18:58:23 +0000 2022,[]
2012,super_martinez,"RT @IvanMolero: El Espanyol debe viajar a 1996 para atrasar el alirón del Madrid

📝 @diarioas #rcde #RealMadridEspanyol 

https://t.co/IgIS…",0,Fri Apr 29 18:54:29 +0000 2022,"['IvanMolero', 'diarioas']"
2013,MasCatalan,RT @meca_josea: ¿Y si el @RCDEspanyol hiciera magia y consigue que la próxima temporada los porteros de todas las categorías luciesen el es…,0,Fri Apr 29 18:53:54 +0000 2022,"['meca_josea', 'RCDEspanyol']"
