0000000000NS,realmadrid,1.0
00900_78601,realmadriden,1.0
00Seergiioo,realmadrid,1.0
012BruceWayne,realmadrid,2.0
01___01a,realmadrid,2.0
01johnsilver,realmadrid,3.0
02_alexmoreno,realmadrid,1.0
02_nef,realmadrid,1.0
0421meg,realmadrid,1.0
04MADRIDREAL,realmadrid,1.0
04Triggha,realmadrid,1.0
04_pineda,realmadrid,1.0
06_belieber06,realmadrid,3.0
06dic04,realmadrid,1.0
07Azul_07,Xloganlobeznox2,2.0
07Azul_07,realmadrid,3.0
07Campanero,realmadrid,1.0
07Raulista,realmadrid,3.0
07easymoney,realmadrid,1.0
08012021Am,realmadrid,1.0
0814_aki,realmadrid,3.0
088Gonzalez,realmadrid,1.0
09Javii_,realmadrid,1.0
09_tii,realmadrid,1.0
09rodrigooo01,realmadrid,1.0
0CarF,realmadrid,3.0
0NIS0K4,realmadrid,1.0
0Osmar,realmadrid,1.0
0Switowski,realmadrid,1.0
0UGzGTtdky7Xg9X,realmadrid,1.0
0XTorresX0,realmadrid,1.0
0_king_7,realmadrid,3.0
0my2nd,realmadrid,1.0
0psRick,realmadrid,1.0
1000alex0001,realmadrid,2.0
100Natillas,realmadrid,1.0
100persenchika,realmadrid,1.0
1012_ricardo,realmadrid,2.0
1024Nacho,realmadrid,1.0
107KingTN,realmadrid,1.0
1091Bafe,realmadrid,1.0
10Carl_A,realmadrid,3.0
10DFutbol,jorge_rosario22,1.0
10XavierQuijano,realmadrid,1.0
10_DerryN,realmadrid,1.0
10adrianamartin,AlexPerezEsc,1.0
10adrianamartin,PEAH_oficial,1.0
10joseg,realmadrid,1.0
10o0o0l,realmadrid,1.0
10rlando,realmadrid,1.0
1109Markitus,RCDeSports,1.0
1110487570M,realmadrid,1.0
1125_ab,realmadrid,1.0
11Joohaan,RCDEspanyol,1.0
11Marleneibarra,realmadrid,1.0
11Naando,RCDEspanyol,1.0
11VolleysPERSet,realmadrid,1.0
11_nestor,diexpo,1.0
11_nestor,pericoquevola,1.0
11albiche,realmadrid,1.0
11morales_,realmadrid,1.0
11nacho_coras,realmadrid,1.0
1234_Muamba,LaLiga,1.0
1234_Muamba,realmadrid,9.0
123Rafazx,realmadrid,1.0
12malosaimi,realmadrid,1.0
13RPR,realmadrid,7.0
13Teco13,realmadrid,1.0
13_halamadrid,realmadrid,1.0
13_marcolino,realmadrid,1.0
13_mariiia_15,realmadrid,1.0
13championsss,realmadrid,1.0
13th_RM,realmadrid,3.0
1412Marta,realmadrid,1.0
14_ALHAITHAM,realmadrid,1.0
14alvaro14,realmadrid,1.0
14drian_,realmadrid,1.0
15_ibravofs,realmadrid,1.0
16Diegom,realmadrid,1.0
16IOS__,realmadrid,1.0
16vicenmartinez,RCDeSports,1.0
173eribar,realmadrid,2.0
173eribar,sanchezcastejon,1.0
17Daluiz,realmadrid,1.0
183dani,RCDeSports,1.0
18Rafacuesta,RCDEspanyol,1.0
1902NicoA,realmadrid,1.0
1906_TFFP,realmadrid,1.0
1927ivanovic,realmadrid,8.0
1967Giorgios,pericoquevola,1.0
1969pcmg,realmadrid,1.0
1970maquis,BlanciBlauSide,1.0
1970maquis,RCDEspanyol,1.0
1970maquis,SemprePerico,1.0
1970maquis,lluisqueasco,1.0
1970maquis,rcdeperico81,1.0
1979martiny,TUDNUSA,1.0
1993barce,realmadrid,1.0
1994Ivanlh,realmadrid,2.0
1995Daniii,realmadrid,2.0
1995Fener,realmadrid,1.0
1997AMMartin,ElDabyz,1.0
19_Dan_95,realmadrid,1.0
19_andreiasilva,realmadrid,4.0
19adriana04,realmadrid,1.0
1Alberto_Garcia,AnderSkeleton,1.0
1Christian_97,realmadrid,1.0
1HBK6,realmadrid,2.0
1Justm3,realmadrid,1.0
1Kingsford,realmadrid,1.0
1NbaYoungboyyy,realmadrid,1.0
1Real_People1,realmadrid,1.0
1Real_People1,realmadriden,1.0
1SBUq2GbC0cJvzh,IBZBLUE,1.0
1SBUq2GbC0cJvzh,realmadrid,1.0
1Saoodi,realmadrid,1.0
1TraVeLA,WeraKuri,1.0
1TraVeLA,realmadrid,1.0
1_BherTo,realmadrid,1.0
1_MarkoBarreat,realmadrid,1.0
1_eaus,realmadrid,3.0
1chimee,realmadrid,1.0
1colombiamivida,realmadrid,2.0
1evavelasco,Forbes_es,1.0
1ginebra1,realmadrid,1.0
1lolyvn,realmadrid,1.0
1mendigoo,realmadrid,1.0
1truebeast,realmadrid,1.0
2001lateral,realmadrid,2.0
2006_tiburon,realmadrid,2.0
2013Alejandro,realmadrid,1.0
2022hahaha,realmadrid,1.0
2094Fg,realmadrid,1.0
2099Noa,realmadrid,2.0
20baris01zeynep,realmadrid,3.0
20rmzn08,realmadrid,1.0
211_s_,realmadrid,1.0
213_kor,realmadrid,3.0
21Fakee,realmadrid,1.0
21Mohsni,realmadrid,1.0
21galarraga46,AnderSkeleton,1.0
21galarraga46,lluisqueasco,1.0
21galarraga46,meca_josea,1.0
21jachaparro,pericosundayez,1.0
21julianasan,realmadrid,1.0
21kevoh,_gakuruss,1.0
21roger46,pericoquevola,1.0
22Marcel02,realmadrid,1.0
22angel4,realmadrid,1.0
23Alvaroabel,realmadrid,1.0
23Joint,realmadrid,2.0
23Owglier,UnicajaBanco,1.0
23Owglier,realmadrid,3.0
23pablosc,realmadrid,1.0
243PMP,realmadrid,1.0
24_7Nooria,realmadrid,1.0
24_martinaaa,realmadrid,1.0
26_Malima,realmadrid,1.0
26kamui,realmadrid,1.0
2725mimata,realmadridfra,1.0
27CarlosJ,realmadrid,1.0
27acosta27,realmadrid,1.0
28PabloRMA,realmadrid,3.0
28RMCF,realmadriden,1.0
28penguinss,realmadrid,1.0
2DiLaurentis,realmadrid,1.0
2Hanyista,realmadridarab,1.0
2HilosInfinitos,RafaelGarciaLAF,1.0
2Mozkid1,realmadrid,1.0
2Thecatface4,realmadrid,1.0
2ataca2,realmadrid,1.0
2bnroshd,realmadrid,1.0
2doficial_,realmadrid,1.0
2fly4most,LaLiga,1.0
2gatiko2,RCDEspanyol,1.0
2gatiko2,nacho_rcde,1.0
2locosxfutbol,LaLiga,1.0
2locosxfutbol,realmadrid,1.0
2nuness,realmadrid,1.0
2o3e2,realmadrid,1.0
305_cryptobull,jorge_rosario22,1.0
30ChefSCurry,realmadrid,2.0
30_Feernando,realmadrid,3.0
31coco10,realmadrid,1.0
329329_mc,realmadrid,1.0
333D666,realmadrid,3.0
333Jeffin,realmadrid,1.0
33al3omari,realmadrid,4.0
35mmpue,elpais_foto,1.0
36pacco_,realmadrid,1.0
37Magd,realmadrid,1.0
39Medoo,realmadrid,2.0
3AmoRyMmostaFa,realmadrid,1.0
3Frick,realmadrid,1.0
3H3KATL11,realmadrid,1.0
3Paquitogijon,realmadrid,1.0
3_miriam_5,realmadrid,3.0
3a4RY_94,realmadrid,1.0
3aMooRyy7,realmadrid,2.0
3abbadiJumana,realmadrid,2.0
3ba10Dy,realmadrid,1.0
3bdull3h9749,realmadrid,4.0
3cirsasenlinea,RCDEspanyol,1.0
3cu_d,realmadrid,1.0
3disson92,realmadrid,2.0
3dullah2,realmadrid,1.0
3gerardpique,EduChicano1,1.0
3gerardpique,alles_dunkle,1.0
3l_Pernales,realmadrid,1.0
3laa20_20,realmadrid,1.0
3leazar_IX,realmadrid,1.0
3liAlshajjar,realmadrid,1.0
